







32067232,Jake,Kroon,1,ICT102,Introduction to Computer Science,3,79,1/01/2013
32067232,Jake,Kroon,1,ICT103,Introduction to Data Communications,3,67,1/01/2013
32067232,Jake,Kroon,2,ICT107,Principles of Information Systems,3,66,1/06/2013
32067232,Jake,Kroon,2,BSC100,Building Blocks for Science Students,3,72,1/06/2013
32067232,Jake,Kroon,1,ICT171,Introduction to Server Environments and Architectures,3,77,1/02/2014
32067232,Jake,Kroon,1,JPN101,Japanese 1,3,66,1/02/2014
32067232,Jake,Kroon,2,ICT284,Systems Analysis and Design,3,82,8/06/2016
32067232,Jake,Kroon,2,ICT215,


     Computer Graphics       ,3,   40     ,8/06/2016
22067232,Binary,Tree,1,ICT211,Web Computing,4,70,15/03/2015
22067232,Binary,Tree,2,ICT218,Databases,4,73,16/06/2015
22067232,Binary,Tree,1,ICT209,Data Structures and Abstractions,3,60,4/02/2016
22067232,Binary,Tree,1,ICT283,Software Development Frameworks,4,40,4/02/2016







12067232,Anduin,Wrynn,1,ICT283,Software Development Frameworks,4,40,4/02/2016
12067232,Anduin,Wrynn,1,ICT167,Principles of Computer Science,3,84,15/03/2015
12067232,Anduin,Wrynn,1,ICT211,Web Computing,4,70,15/03/2015
12067232,Anduin,Wrynn,2,ICT218,Databases,4,73,16/06/2015
12067232,Anduin,Wrynn,1,ICT209,Data Structures and Abstractions,3,60,4/02/2016
12067232,Anduin,Wrynn,1,ICT283,Software Development Frameworks,4,40,4/02/2016
12067232,Anduin,Wrynn,2,ICT284,Systems Analysis and Design,3,82,8/06/2016
12067232,Anduin,Wrynn,2,ICT215,     Computer Graphics       ,3,   40     ,8/0/2016
42067232,Nigel,Thornberry,1,ICT102,Introduction to Computer Science,3,79,1/01/2013
42067232,Nigel,Thornberry,2,MAS162,Foundations of Discrete Mathematics,3,84,1/08/2014
42067232,Nigel,Thornberry,2,BSC150,What is Science?,3,74,1/08/2014
2067232,Anduin,Wrynn,2,ICT215,     Computer Graphics       ,3,   50     ,8/06/2017
32067232,Jake,Kroon,2,MAS162,










Foundations of Discrete Mathematics,3,84,1/08/2014
		32067232,Jake,Kroon,2,BSC150,What is Science?,3,74,1/08/2014
32067232,Jake,Kroon,1,ICT167,Principles of Computer Science,3,84,15/03/2015
32067232,Jake,Kroon,1,ICT211,Web Computing,4,70,15/03/2015
32067232,Jake,Kroon,2,ICT218,Databases,4,73,16/06/2015
32067232,Jake,Kroon,1,ICT209,Data Structures and Abstractions,3,60,4/02/2016
32067232,Jake,Kroon,1,ICT283,Software Development Frameworks,4,40,4/02/2016
42067232,Nigel,Thornberry,1,ICT103,Introduction to Data Communications,3,67,1/01/2013
42067232,Nigel,Thornberry,2,ICT107,Principles of Information Systems,3,66,1/06/2013
42067232,Nigel,Thornberry,2,BSC100,Building Blocks for Science Students,3,72,1/06/2013
42067232,Nigel,Thornberry,1,ICT171,Introduction to Server Environments and Architectures,3,77,1/02/2014
42067232,Nigel,Thornberry,1,JPN101,Japanese 1,3,66,1/02/2014
52067232,Jake,Kroon,2,MAS162,Foundations of Discrete Mathematics,3,84,1/08/2014
52067232,Phuong,Nguyen,2,BSC150,What is Science?,3,74,



1 /


08


/2014







52067232,Phuong,Nguyen,1,ICT167,Principles of Computer Science,3,84,15/03/2015
52067232,Phuong,Nguyen,1,ICT211,Web Computing,4,70,15/03/2015
52067232,Phuong,Nguyen,1,ICT209,Data Structures and Abstractions,3,60,4/02/2016
52067232,Phuong,Nguyen,1,ICT283,Software Development Frameworks,4,40,4/02/2016
62067232,Jonsi,Birgisson,1,ICT102,Introduction to Computer Science,3,79,1/01/2013
62067232,Jonsi,Birgisson,1,ICT103,Introduction to Data Communications,3,67,1/01/2013
62067232,Jonsi,Birgisson,2,ICT107,Principles of Information Systems,3,66,1/06/2013
62067232,Jonsi,Birgisson,2,BSC100,Building Blocks for Science Students,3,72,1/06/2013
62067232,Jonsi,Birgisson,1,ICT171,Introduction to Server Environments and Architectures,3,77,1/02/2014












































































